Code,UID,Name,Short name,Aggregation operator,Domain type,Description,value type,Form name,Zero is significant,url,Category combination UID,,,,
13.6 No. of premises served with intimation notice,qOjOAzrUC14,13.6 No. of premises served with intimation notices,13.6 No. of premises served with intimation notice,SUM,AGGREGATE,,NUMBER,,FALSE,,kEInhRCKIYM,,,,
13.7 No. of previous intimation notices complied,cCxfPJnchhG,13.7 No. of previous intimation notices complied,13.7 No. of previous intimation notices complied,SUM,AGGREGATE,,NUMBER,,FALSE,,kEInhRCKIYM,,,,
,dMNEJBmnjAR,1.3 Leaders promote a quality culture of continuous improvement,1.3 Leaders promote a quality culture,SUM,TRACKER,,NUMBER,1.3 Leaders promote a quality culture of continuous improvement,FALSE,,OzshuDqmXQI,,,,
1.3 No. of Food Hygiene Licences issued by MOH Hqs,gN2XBT1KjLs,1.3 No. of Food Hygiene Licences issued by MOH Hqs (Cum. since January current year),1.3 No. of Food Hygiene Licences issued by MOH Hqs,SUM,AGGREGATE,,NUMBER,No. of Food Hygiene Licences issued by MOH Hqs (Cum. since January current year),FALSE,,fsjkGeJmVbC,,,,
,ct3PV2jirFq,13. Results at 8 months HIV-,13. 8 months HIV-,SUM,AGGREGATE,,NUMBER,13. Results at 8 months HIV-,FALSE,,gQHAh67d3bm,,,,
1410100,YkVzbDfJKMy,1410100 Interest Received,1410100 Interest Received,SUM,AGGREGATE,,NUMBER,1410100 Interest Received,FALSE,,OzshuDqmXQI,,,,
1410109,H5NKPaRikyM,1410109 Interest from Com. Bank Account,1410109 Interest from Com. Bank Account,SUM,AGGREGATE,,NUMBER,1410109 Interest from Com. Bank Account,FALSE,,OzshuDqmXQI,,,,
1410199,G1v7BB4cDZq,1410199 Total Interest Received,1410199 Total Interest Received,SUM,AGGREGATE,,NUMBER,1410199 Total Interest Received,FALSE,,OzshuDqmXQI,,,,
14.1 Control of points of entry,UN1zdr8FvBR,14.1 Control of points of entry,14.1 Control of points of entry,SUM,AGGREGATE,,NUMBER,,FALSE,,N1qpwKKCzRF,,,,
1420300,FLT5619aj9V,1420300 Receipts Admin Fees & Charges Collect as AIA,1420300 Receipts Admin Fees & Charges Co,SUM,AGGREGATE,,NUMBER,1420300 Receipts Admin Fees & Charges Collect as AIA,FALSE,,OzshuDqmXQI,,,,
1420359,cKGenTODtq8,1420359 User Fees,1420359 User Fees,SUM,AGGREGATE,,NUMBER,1420359 User Fees,FALSE,,OzshuDqmXQI,,,,
1420369,nspiDhcn12j,1420369 Others (Incl. Direct Donations),1420369 Others (Incl. Direct Donations),SUM,AGGREGATE,,NUMBER,1420369 Others (Incl. Direct Donations),FALSE,,OzshuDqmXQI,,,,
1420399,sXFBotBEryK,1420399 Total Receipts Admin Fees & Charges Collect as AIA,1420399 Total Receipts Admin Fees & Char,SUM,AGGREGATE,,NUMBER,1420399 Total Receipts Admin Fees & Charges Collect as AIA,FALSE,,OzshuDqmXQI,,,,
14.2 Total no. of travel health documents inspecte,Kr1zvTvJN5M,14.2 Total no. of travel health documents inspected,14.2 Total no. of travel health documents inspecte,SUM,AGGREGATE,,NUMBER,,FALSE,,N1qpwKKCzRF,,,,
,YYVsSnG0Sxk,14.3 Vaccination of travellers,14.3 Vaccination of travellers,SUM,AGGREGATE,,NUMBER,,FALSE,,N1qpwKKCzRF,,,,
,TyKOJaHCNRI,14.4 No. of travellers on surveillance,14.4 No. of travellers on surveillance,SUM,AGGREGATE,,NUMBER,,FALSE,,N1qpwKKCzRF,,,,
,tuPZop4qifu,1.4 Leaders have established a Quality Assurance unit ,Leaders have established a Quality Assur,SUM,TRACKER,,NUMBER,1.4 Leaders have established a Quality Assurance unit ,FALSE,,OzshuDqmXQI,,,,
1.4 No. of premises licensed,gsU4ZfPOP6c,1.4 No. of premises licensed,1.4 No. of premises licensed,SUM,AGGREGATE,,NUMBER,No. of premises licensed,FALSE,,fsjkGeJmVbC,,,,
,O5EX15HKS6f,14. Results at 8 months HIV Test Not Done,14.  8 mths HIV Test Not,SUM,AGGREGATE,,NUMBER,14. Results at 8 months HIV Test Not Done,FALSE,,gQHAh67d3bm,,,,
,yYaXkPPygwD,15.1 No. of intimation notices served,15.1 No. of intimation notices served,SUM,AGGREGATE,,NUMBER,,FALSE,,pVtC0kfyuWL,,,,
15.2 No. of intimation notices complied,TP1qWXK4YtP,15.2 No. of intimation notices complied,15.2 No. of intimation notices complied,SUM,AGGREGATE,,NUMBER,,FALSE,,pVtC0kfyuWL,,,,
,K1RvBQwXrDD,15.3 No. of statutory notices served,15.3 No. of statutory notices served,SUM,AGGREGATE,,NUMBER,,FALSE,,pVtC0kfyuWL,,,,
,OawGTpm4cQ9,15.4 No. of statutory notices complied,15.4 No. of statutory notices complied,SUM,AGGREGATE,,NUMBER,,FALSE,,pVtC0kfyuWL,,,,
15.5 No. of cases prosecuted,v6g63HIYfzP,15.5 No. of cases prosecuted,15.5 No. of cases prosecuted,SUM,AGGREGATE,,NUMBER,,FALSE,,pVtC0kfyuWL,,,,
15.6 No. of cases convicted,wJ1g4UVAI90,15.6 No. of cases convicted,15.6 No. of cases convicted,SUM,AGGREGATE,,NUMBER,,FALSE,,pVtC0kfyuWL,,,,
,ThmmNHsYi0d,1.5 Documented evidence of the performance of Quality Assurance Unit,1.5 Documented evidence of the performan,SUM,TRACKER,,NUMBER,1.5 Documented evidence of the performance of Quality Assurance Unit,FALSE,,OzshuDqmXQI,,,,
1.5 No. of premises served with intimation,A9lPMktBqwW,1.5 No. of premises served with intimation,1.5 No. of premises served with intimation,SUM,AGGREGATE,,NUMBER,No. of premises served with intimation,FALSE,,fsjkGeJmVbC,,,,
,AtMqM0wLKHm,15. Number on ART,15. Number on ART,SUM,AGGREGATE,,NUMBER,15. Number on ART,FALSE,,gQHAh67d3bm,,,,
,i4yzzAyCrDk,16.1 No. of School going Children dewormed,16.1 No. of School going Children dewormed,SUM,AGGREGATE,,NUMBER,,FALSE,,OzshuDqmXQI,,,,
1.6 No. of previous intimation notices complied wi,KIxgxhvjKLI,1.6 No. of previous intimation notices complied with,1.6 No. of previous intimation notices complied wi,SUM,AGGREGATE,,NUMBER,No. of previous intimation notices complied with,FALSE,,fsjkGeJmVbC,,,,
,yy64rsnY1LJ,16. Number on CPT,16. Number on CPT,SUM,AGGREGATE,,NUMBER,16. Number on CPT,FALSE,,gQHAh67d3bm,,,,
,OORAMyrC9oe,1.6 Top management review the quality management system periodically,1.6 Top management review the quality,SUM,TRACKER,,NUMBER,1.6 Top management review the quality management system periodically,FALSE,,OzshuDqmXQI,,,,
,siMRcvQOr9A,17. Results at 2 months ,17. Results at 2 months ,SUM,AGGREGATE,,NUMBER,17. Results at 2 months ,FALSE,,VemQawTaBIQ,,,,
,Q3YOpmV5XhX,1.7 The quality management review agenda is comprehensive ,.7 The quality management review agenda ,SUM,TRACKER,,NUMBER,1.7 The quality management review agenda is comprehensive ,FALSE,,OzshuDqmXQI,,,,
,NyokSyTDNCp,1.8 Quality Management review ,1.8 Quality Management review meeting,SUM,AGGREGATE,,NUMBER,1.8 Quality Management,FALSE,,OzshuDqmXQI,,,,
,U8rTekZLxfB,"1.8 Quality Management review meetings arrive at concrete decisions, allocate resources and document them.",1.8 Quality Management review meetings,SUM,TRACKER,,NUMBER,"1.8 Quality Management review meetings arrive at concrete decisions, allocate resources and document them.",FALSE,,OzshuDqmXQI,,,,
,O511XwIX5K4,18. Results at 8 months,18. Results at 8 months,SUM,AGGREGATE,,NUMBER,18. Results at 8 months,FALSE,,VemQawTaBIQ,,,,
1999999,SQvK5SWp3MZ,1999999 Total Income/Revenue,1999999 Total Income/Revenue,SUM,AGGREGATE,,NUMBER,1999999 Total Income/Revenue,FALSE,,OzshuDqmXQI,,,,
,uleiILnzaNj,1.9 A clear policy and guidelines guiding training of health workers is in place,1.9 clear policy and guidelines guiding,SUM,TRACKER,,NUMBER,1.9 A clear policy and guidelines guiding training of health workers is in place,FALSE,,OzshuDqmXQI,,,,
,F5eCUYFODbF,19. Results at 8 months -HIV +,19. 8 months -HIV +,SUM,AGGREGATE,,NUMBER,19. Results at 8 months -HIV +,FALSE,,VemQawTaBIQ,,,,
,gY6YOS7S6bk,1. Action points by facility ,1. Action points by facility ,SUM,TRACKER,,LONG_TEXT,1. Action points by facility ,FALSE,,OzshuDqmXQI,,,,
,RvJCOxUJ3Jn,1. New (N),1. New (N),SUM,AGGREGATE,,NUMBER,1. New (N),FALSE,,pFQ7rAd4b5t,,,,
,Fej7Xt6RATF,1. Responsible Person ,1. Responsible Person ,SUM,TRACKER,,LONG_TEXT,1. Responsible Person ,FALSE,,OzshuDqmXQI,,,,
,lV2GeKQKPw7,1. Results at 2 months ,1. Results at 2 months ,SUM,AGGREGATE,,NUMBER,1. Results at 2 months ,FALSE,,gQHAh67d3bm,,,,
,w0yhe43HWWy,1st delay - Cultural / religious reasons / objections ,1st delay - Cultural / religious reasons,SUM,TRACKER,,TEXT,1st delay - Cultural / religious reasons / objections,FALSE,,OzshuDqmXQI,,,,
,Hz4aRsZI3LH,1st delay - Failure to recognise danger signs,1st delay - Failure to recognise danger ,SUM,TRACKER,,TEXT,1st delay - Failure to recognise danger signs,FALSE,,OzshuDqmXQI,,,,
,DVONLoi3tKo,1st delay - High cost of treatment,1st delay - High cost of treatment,SUM,TRACKER,,TEXT,1st delay - High cost of treatment,FALSE,,OzshuDqmXQI,,,,
,O3lIO3jGJes,1st delay - Ignorance of available services ,1st delay - Ignorance of available servi,SUM,TRACKER,,TEXT,1st delay - Ignorance of available services,FALSE,,OzshuDqmXQI,,,,
,FVRmGqSauyW,"1st delay - Other, specify","1st delay - Other, specify",SUM,TRACKER,,LONG_TEXT,,FALSE,,OzshuDqmXQI,,,,
,FCiX9BbS13h,1st delay -Poverty,1st delay -Poverty,SUM,TRACKER,,TEXT,1st delay -Poverty,FALSE,,OzshuDqmXQI,,,,
,eHxtyYAzbwT,1st Dose Tetanus Toxoid for pregnant  women (Health Facility),1st Dose Tetanus Toxoid for pregnant (HF,SUM,AGGREGATE,,NUMBER,1st Dose Tetanus Toxoid for pregnant  women (Health Facility),FALSE,,OzshuDqmXQI,,,,
,HuBOBbXely5,1st Dose Tetanus Toxoid for pregnant  women (Outreach),1st Dose Tetanus Toxoid for pregnant  wo,SUM,AGGREGATE,,NUMBER,1st Dose Tetanus Toxoid for pregnant  women (Outreach),FALSE,,OzshuDqmXQI,,,,
,XxnWU21pRrS,1st visit,1st visit,SUM,AGGREGATE,,NUMBER,1st visit,FALSE,,w8ZsCiUkkpH,,,,
,WoCrj0bMG6J,1. Timeframe,1. Timeframe,SUM,TRACKER,,LONG_TEXT,1. Timeframe,FALSE,,OzshuDqmXQI,,,,
